PurchasePrice,PurchasePriceM,DownPayment,MortgageInterestRatePercent,AnnualSupplementalMaintenanceCosts,AmortizationPeriodYears,AnnualAmortizationAmount,TotalRenovations,AdditionalPurchaseExpenses,ImputedRentalValue,PropertyExpenseTaxDeductions,MarginalTaxRatePercent,AnnualPropertyValueIncreasePercent,MonthlyRentDue,AnnualSupplementalCostsRent,InvestmentYieldRatePercent,TermYears,CompareText,ResultValue,Decision,InterestCosts,SupplementalMaintenanceCosts,AmortizationCosts,RenovationExpenses,AdditionalPurchaseExpensesOutput,GeneralCostOfPurchase,TaxDifferenceToRental,MinusPropertyValue,MortgageAtEndOfRelevantTimePeriod,TotalPurchaseCost,GeneralCostOfRental,ExcludingYieldsOnAssets,ExcludingDownPayment,TotalRentalCost,MortgageAmount,ErrorMsg
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,1.0,10,"Buying your home will work out CHF 768,123.35 cheaper than renting over the relevant time frame.",768123.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,36875.0,-2321081.65,1431010.0,-291427.25,860000.0,-36303.9,-347000.0,476696.1,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,1.0,10,"Buying your home will work out CHF 885,030.50 cheaper than renting over the relevant time frame.",885030.5,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,36875.0,-2437988.85,1431010.0,-408334.4,860000.0,-36303.9,-347000.0,476696.1,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,1.5,10,"Buying your home will work out CHF 433,459.05 cheaper than renting over the relevant time frame.",433459.05,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,31053.9,-2000000.0,1431010.0,23833.3,860000.0,-55707.65,-347000.0,457292.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,1.5,10,"Buying your home will work out CHF 535,739.35 cheaper than renting over the relevant time frame.",535739.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,31053.9,-2102280.25,1431010.0,-78447.0,860000.0,-55707.65,-347000.0,457292.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,1.5,10,"Buying your home will work out CHF 642,703.30 cheaper than renting over the relevant time frame.",642703.3,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,31053.9,-2209244.25,1431010.0,-185410.95,860000.0,-55707.65,-347000.0,457292.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,1.5,10,"Buying your home will work out CHF 754,540.70 cheaper than renting over the relevant time frame.",754540.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,31053.9,-2321081.65,1431010.0,-297248.35,860000.0,-55707.65,-347000.0,457292.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,1.5,10,"Buying your home will work out CHF 871,447.90 cheaper than renting over the relevant time frame.",871447.9,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,31053.9,-2437988.85,1431010.0,-414155.55,860000.0,-55707.65,-347000.0,457292.35,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,2.0,10,"Buying your home will work out CHF 419,260.70 cheaper than renting over the relevant time frame.",419260.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,24968.85,-2000000.0,1431010.0,17748.25,860000.0,-75991.05,-347000.0,437008.95,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,2.0,10,"Buying your home will work out CHF 521,540.95 cheaper than renting over the relevant time frame.",521540.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,24968.85,-2102280.25,1431010.0,-84532.0,860000.0,-75991.05,-347000.0,437008.95,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,2.0,10,"Buying your home will work out CHF 628,504.95 cheaper than renting over the relevant time frame.",628504.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,24968.85,-2209244.25,1431010.0,-191496.0,860000.0,-75991.05,-347000.0,437008.95,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,2.0,10,"Buying your home will work out CHF 740,342.35 cheaper than renting over the relevant time frame.",740342.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,24968.85,-2321081.65,1431010.0,-303333.4,860000.0,-75991.05,-347000.0,437008.95,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,2.0,10,"Buying your home will work out CHF 857,249.55 cheaper than renting over the relevant time frame.",857249.55,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,24968.85,-2437988.85,1431010.0,-420240.6,860000.0,-75991.05,-347000.0,437008.95,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,2.5,10,"Buying your home will work out CHF 404,421.85 cheaper than renting over the relevant time frame.",404421.85,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,18609.4,-2000000.0,1431010.0,11388.8,860000.0,-97189.35,-347000.0,415810.65,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,2.5,10,"Buying your home will work out CHF 506,702.15 cheaper than renting over the relevant time frame.",506702.15,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,18609.4,-2102280.25,1431010.0,-90891.5,860000.0,-97189.35,-347000.0,415810.65,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,2.5,10,"Buying your home will work out CHF 613,666.10 cheaper than renting over the relevant time frame.",613666.1,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,18609.4,-2209244.25,1431010.0,-197855.45,860000.0,-97189.35,-347000.0,415810.65,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,2.5,10,"Buying your home will work out CHF 725,503.50 cheaper than renting over the relevant time frame.",725503.5,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,18609.4,-2321081.65,1431010.0,-309692.85,860000.0,-97189.35,-347000.0,415810.65,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,2.5,10,"Buying your home will work out CHF 842,410.70 cheaper than renting over the relevant time frame.",842410.7,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,18609.4,-2437988.85,1431010.0,-426600.05,860000.0,-97189.35,-347000.0,415810.65,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,3.0,10,"Buying your home will work out CHF 388,917.10 cheaper than renting over the relevant time frame.",388917.1,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,11964.5,-2000000.0,1431010.0,4743.9,860000.0,-119339.0,-347000.0,393661.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,3.0,10,"Buying your home will work out CHF 491,197.40 cheaper than renting over the relevant time frame.",491197.4,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,11964.5,-2102280.25,1431010.0,-97536.4,860000.0,-119339.0,-347000.0,393661.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,3.0,10,"Buying your home will work out CHF 598,161.35 cheaper than renting over the relevant time frame.",598161.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,11964.5,-2209244.25,1431010.0,-204500.35,860000.0,-119339.0,-347000.0,393661.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,3.0,10,"Buying your home will work out CHF 709,998.75 cheaper than renting over the relevant time frame.",709998.75,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,11964.5,-2321081.65,1431010.0,-316337.75,860000.0,-119339.0,-347000.0,393661.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,3.0,10,"Buying your home will work out CHF 826,905.95 cheaper than renting over the relevant time frame.",826905.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,11964.5,-2437988.85,1431010.0,-433244.95,860000.0,-119339.0,-347000.0,393661.0,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,3.5,10,"Buying your home will work out CHF 372,720.00 cheaper than renting over the relevant time frame.",372720.0,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,5022.85,-2000000.0,1431010.0,-2197.75,860000.0,-142477.75,-347000.0,370522.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,3.5,10,"Buying your home will work out CHF 475,000.25 cheaper than renting over the relevant time frame.",475000.25,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,5022.85,-2102280.25,1431010.0,-104478.0,860000.0,-142477.75,-347000.0,370522.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,3.5,10,"Buying your home will work out CHF 581,964.25 cheaper than renting over the relevant time frame.",581964.25,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,5022.85,-2209244.25,1431010.0,-211442.0,860000.0,-142477.75,-347000.0,370522.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,3.5,10,"Buying your home will work out CHF 693,801.65 cheaper than renting over the relevant time frame.",693801.65,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,5022.85,-2321081.65,1431010.0,-323279.4,860000.0,-142477.75,-347000.0,370522.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,3.5,10,"Buying your home will work out CHF 810,708.85 cheaper than renting over the relevant time frame.",810708.85,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,5022.85,-2437988.85,1431010.0,-440186.6,860000.0,-142477.75,-347000.0,370522.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,4.0,10,"Buying your home will work out CHF 355,803.10 cheaper than renting over the relevant time frame.",355803.1,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-2227.25,-2000000.0,1431010.0,-9447.85,860000.0,-166644.75,-347000.0,346355.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,4.0,10,"Buying your home will work out CHF 458,083.35 cheaper than renting over the relevant time frame.",458083.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-2227.25,-2102280.25,1431010.0,-111728.1,860000.0,-166644.75,-347000.0,346355.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,4.0,10,"Buying your home will work out CHF 565,047.35 cheaper than renting over the relevant time frame.",565047.35,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-2227.25,-2209244.25,1431010.0,-218692.1,860000.0,-166644.75,-347000.0,346355.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,4.0,10,"Buying your home will work out CHF 676,884.75 cheaper than renting over the relevant time frame.",676884.75,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-2227.25,-2321081.65,1431010.0,-330529.5,860000.0,-166644.75,-347000.0,346355.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,2.0,5500,20000,4.0,10,"Buying your home will work out CHF 793,791.95 cheaper than renting over the relevant time frame.",793791.95,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-2227.25,-2437988.85,1431010.0,-447436.7,860000.0,-166644.75,-347000.0,346355.25,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.0,5500,20000,4.5,10,"Buying your home will work out CHF 338,138.15 cheaper than renting over the relevant time frame.",338138.15,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-9797.95,-2000000.0,1431010.0,-17018.55,860000.0,-191880.4,-347000.0,321119.6,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,0.5,5500,20000,4.5,10,"Buying your home will work out CHF 440,418.40 cheaper than renting over the relevant time frame.",440418.4,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-9797.95,-2102280.25,1431010.0,-119298.8,860000.0,-191880.4,-347000.0,321119.6,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.0,5500,20000,4.5,10,"Buying your home will work out CHF 547,382.40 cheaper than renting over the relevant time frame.",547382.4,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-9797.95,-2209244.25,1431010.0,-226262.8,860000.0,-191880.4,-347000.0,321119.6,1653000,
2000000,2.0,347000,0.9,20000,10,22199,0,0,42900,13000,30,1.5,5500,20000,4.5,10,"Buying your home will work out CHF 659,219.80 cheaper than renting over the relevant time frame.",659219.8,BUY,139779.4,200000.0,221990.0,0.0,0.0,561769.4,-9797.95,-2321081.65,1431010.0,-338100.2,860000.0,-191880.4,-347000.0,321119.6,1653000,
